Título;Autores;Autorias compartilhadas;Editores;Editores de livros;Título da fonte;Data de publicação;Ano da publicação;Volume;Edição;Número da edição;Suplemento;Edição especial;Página inicial;Página final;Número do artigo;DOI;Título da conferência;Data da conferência;Total de citações;Média por ano;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Comparative energy life-cycle analyses of microalgal biomass production in open ponds and photobioreactors;"Jorquera, Orlando; Kiperstok, Asher; Sales, Emerson A.; Embirucu, Marcelo; Ghirardi, Maria L.";;;;BIORESOURCE TECHNOLOGY;FEB 2010;2010;101;4;;;;1406;1413;;10.1016/j.biortech.2009.09.038;;;459;38,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;29;32;47;55;42;50;47;51;51;48;1
Microalgae as feedstock for biodiesel production: Carbon dioxide sequestration, lipid production and biofuel quality;"Francisco, Erika C.; Neves, Debora B.; Jacob-Lopes, Eduardo; Franco, Telma T.";;;;JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY;MAR 2010;2010;85;3;;;;395;403;;10.1002/jctb.2338;;;293;24,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;23;27;24;32;40;34;24;42;33;0
Potential carbon dioxide fixation by industrially important microalgae;"Sydney, Eduardo Bittencourt; Sturm, Wilerson; de Carvalho, Julio Cesar; Thomaz-Soccol, Vanete; Larroche, Christian; Pandey, Ashok; Soccol, Carlos Ricardo";;;;BIORESOURCE TECHNOLOGY;AUG 2010;2010;101;15;;;;5892;5896;;10.1016/j.biortech.2010.02.088;;;254;21,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;14;18;33;34;36;30;18;35;25;0
Screening Microalgae Strains for Biodiesel Production: Lipid Productivity and Estimation of Fuel Quality Based on Fatty Acids Profiles as Selective Criteria;"Nascimento, Iracema Andrade; Izabel Marques, Sheyla Santa; Dominguez Cabanelas, Iago Teles; Pereira, Solange Andrade; Druzian, Janice Isabel; de Souza, Carolina Oliveira; Vich, Daniele Vital; de Carvalho, Gilson Correia; Nascimento, Maurcio Andrade";;;;BIOENERGY RESEARCH;MAR 2013;2013;6;1;;;;1;13;;10.1007/s12155-012-9222-2;;;225;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;18;33;27;36;26;36;38;3
Isolation and selection of microalgae from coal fired thermoelectric power plant for biofixation of carbon dioxide;"de Morais, Michele Greque; Vieira Costa, Jorge Alberto";;;;ENERGY CONVERSION AND MANAGEMENT;JUL 2007;2007;48;7;;;;2169;2173;;10.1016/j.enconman.2006.12.011;;;220;14,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;3;10;18;13;23;20;18;28;26;17;17;19;1
Distribution of intracellular nitrogen in marine microalgae: Calculation of new nitrogen-to-protein conversion factors;"Lourenco, SO; Barbarino, E; Lavin, PL; Marque, UML; Aidar, E";;;;EUROPEAN JOURNAL OF PHYCOLOGY;FEB 2004;2004;39;1;;;;17;32;;10.1080/0967026032000157156;;;200;11,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;2;3;3;4;15;13;10;22;23;25;37;38;0
Antioxidant activity of the microalga Spirulina maxima;"Miranda, MS; Cintra, RG; Barros, SBM; Mancini, J";;;;BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH;AUG 1998;1998;31;8;;;;1075;1079;;10.1590/S0100-879X1998000800007;;;191;7,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;8;8;6;18;10;9;8;14;8;9;14;15;10;14;14;12;0
An evaluation of methods for extraction and quantification of protein from marine macro- and microalgae;"Barbarino, E; Lourenco, SO";;;;JOURNAL OF APPLIED PHYCOLOGY;OCT 2005;2005;17;5;;;;447;460;;10.1007/s10811-005-1641-4;;;165;9,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;9;4;7;5;13;14;10;23;18;19;19;18;1
Effect of light cycles (night/day) on CO2 fixation and biomass production by microalgae in photobioreactors;"Jacob-Lopes, Eduardo; Gimenes Scoparo, Carlos Henrique; Cacia Ferreira Lacerda, Lucy Mara; Franco, Telma Teixeira";;;;CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION;JAN 2009;2009;48;1;;;;306;310;;10.1016/j.cep.2008.04.007;;;148;11,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;7;9;9;19;10;16;18;19;18;14;0
Screening of microalgae with potential for biodiesel production and nutrient removal from treated domestic sewage;"Sydney, E. B.; da Silva, T. E.; Tokarski, A.; Novak, A. C.; de Carvalho, J. C.; Woiciecohwski, A. L.; Larroche, C.; Soccol, C. R.";;;;APPLIED ENERGY;OCT 2011;2011;88;10;;;SI;3291;3294;;10.1016/j.apenergy.2010.11.024;;;143;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;13;16;22;19;16;17;17;12;0
